organization,hand_coded_assignee_form
VWS Westgarth Limited,FIRM
IPD-THERAPEUTICS B.V.,FIRM
ALT TECHNOLOGIES B.V.,FIRM
"Shin Crest, PTE, Ltd.",FIRM
"DBC of New York, Inc.",FIRM
"ABCO Industries, Ltd.",FIRM
"Harmonic Desing, Inc.",FIRM
"Millennia Media, Inc.",FIRM
"Seiko S-Yard Co., LTD",FIRM
"Vuesinx Sensors, Inc.",FIRM
"Adams & Coltrin, Inc.",FIRM
"Max Rittenbaum, Inc. ",FIRM
Agrob Anlagenbau GmbH,FIRM
"Colwell/General, Inc.",FIRM
"McKeon Products, Inc.",FIRM
Illinois Cereal Mills,FIRM
Ange Construction Co.,FIRM
"Kason Indutries, Inc.",FIRM
"Triumph Systems, Inc.",FIRM
"Water Technology, LLC",FIRM
"Golden Metallic, Inc.",FIRM
"Eagle Clamp Co., Ltd.",FIRM
"Chapter One Co., Ltd.",FIRM
DuPont-Toray Co. Ltd.,FIRM
TGO TECH. CORPORATION,FIRM
"Quid Novi, S.A., Inc.",FIRM
"HV Technologies, Inc.",FIRM
Bohm & Braunwalder KG,FIRM
"Silcon Graphics, Inc.",FIRM
GP-Golf Products GmbH,FIRM
"Kyowa Works Co., Ltd.",FIRM
"Kwanbo Tech Co., Ltd.",FIRM
"TIVENI MERGEDCO, INC.",FIRM
"501 Daifuku Co., Ltd.",FIRM
"Celion Networks, Inc.",FIRM
Spartan Controls Ltd.,FIRM
"Lihit Seiko Co., Ltd.",FIRM
"GFH Enterprises, Inc.",FIRM
MiniDoc i Uppsala AB ,FIRM
"Vitro Products, Inc. ",FIRM
"Arista Netwroks, Inc.",FIRM
Ream Industries Corp.,FIRM
Nan Ya Photonics Inc.,FIRM
12 Sigma Technologies,FIRM
Syncro Air Lift Corp.,FIRM
"D4D Technologies, LLC",FIRM
G.S. Kasei Kogyo K.K.,FIRM
ASML Netherlands B.V.,FIRM
Cummings Incorporated,FIRM
Foodsmith Corporation,FIRM
The J. M. Ney Company,FIRM
Femtonics Corporation,FIRM
"Hatch Medical, L.L.C.",FIRM
CAM Tecnologie S.p.A.,FIRM
"Gehr Industries, Inc.",FIRM
"Valmet Automatic, Inc.",FIRM
"Forgent Networks, Inc.",FIRM
683462 Ontario Limited,FIRM
"Okada Shigyo Co., Ltd.",FIRM
Kloeckner-Moeller-GmbH,FIRM
"Angiolaz, Incorporated",FIRM
Kabushiki Kaisha Bocca,FIRM
Labfax Systems Limited,FIRM
"Loophole Products, LLC",FIRM
Aerodyne International,FIRM
"Peter Thomas Roth, LLC",FIRM
"Penny Poke Farms, Ltd.",FIRM
"Amkor Technology, Inc.",FIRM
Precedence Health Care,FIRM
Stratotech Corporation,FIRM
Biotronik GmbH & Co.KG,FIRM
Orschler Produktion KG,FIRM
Blue Tiger Corporation,FIRM
"Long Enterprises, Inc.",FIRM
"V ector Products, Inc.",FIRM
Score (Europe) Limited,FIRM
"Stemlock, Incorporated",FIRM
"TRS Technologies, Inc.",FIRM
"Initiate Systems, Inc.",FIRM
Northwest Revegetation,FIRM
Cook Specialty Company,FIRM
Brown & Sharpe TESA SA,FIRM
Parma Development Ltd.,FIRM
"Oliden Technology, LLC",FIRM
Sercel England Limited,FIRM
Tracme Beacons Pty Ltd,FIRM
"PARABON NANOLABS, INC.",FIRM
The Ealing Corporation,FIRM
"Esmil-Envirotech, Ltd.",FIRM
MRG Tool and Die Corp.,FIRM
"Ecolighting, Inc Corp.",FIRM
MorseTEC Europe S.p.A.,FIRM
Roadmaster (USA) Corp.,FIRM
"Essex Industries, Inc.",FIRM
"Working Concepts, Inc.",FIRM
Bio-Id Diagnostic Inc.,FIRM
Surpa Tech Corporation,FIRM
Ostma Maschinebau GmbH,FIRM
"Pro-gard Products, LLC",FIRM
Cyanamid Italia S.p.A.,FIRM
"Thomas J. Lipton, Inc.",FIRM
1Spatial Group Limited,FIRM
"SSP Technologies, Inc.",FIRM
"Combined Systems, Inc.",FIRM
Software Motor Company,FIRM
F2M International Inc.,FIRM
"Thales Resources, Inc.",FIRM
Alfo Romeo Auto S.p.A.,FIRM
Integrated Corporation,FIRM
"Mcron Technology, Inc.",FIRM
The D. L. Auld Company,FIRM
ISE Innomotive Systems,FIRM
"TSI Manufacturing, LLC",FIRM
"Osaka Cement Co., Ltd.",FIRM
Digital Fuel Injection,FIRM
MSD International GMBH,FIRM
"Signage Resources, LLC",FIRM
"Tearlab Research, Inc.",FIRM
ManiaTech Incorporated,FIRM
ITEC Tokyo Corporation,FIRM
Empower Materials Inc.,FIRM
"Nihon Genryo Co., Ltd.",FIRM
"Random Biometrics, LLC",FIRM
QUADROSERA CORPORATION,FIRM
Aqua Star Pool Company,FIRM
"Thomas Russell, L.L.C.",FIRM
Airbus Operations GmbH,FIRM
"The Reverie Group, LLC",FIRM
PEL INTERNATIONAL INC.,FIRM
"Yamada Dobby Co., Ltd.",FIRM
"Now Technologies, Inc.",FIRM
"Remote Knowledge, Inc.",FIRM
Derby Cycle Werke GmbH,FIRM
"S C Power Systems, Inc.",FIRM
Down Lite International,FIRM
"Gus Manufacturing, Inc.",FIRM
"Warsaw Orthopedic, Inc.",FIRM
Advanced Solar Products,FIRM
"Edgecast Networks, Inc.",FIRM
Zyba Renewables Limited,FIRM
The Mike Meehan Company,FIRM
"Giant Industries, Inc. ",FIRM
Zero Zero Robotics Inc.,FIRM
Dow Corning France S.A.,FIRM
"S. Brannan & Sons, Ltd.",FIRM
Don Wright Golf Company,FIRM
"Tagawasyouji Co., Ltd. ",FIRM
"Convert-A-Stair, L.L.C.",FIRM
NOWHERE DIGITAL LIMITED,FIRM
"Hinkley Lightings, Inc.",FIRM
The Trenton Corporation,FIRM
"Waye Laboratories, Inc.",FIRM
Gladiator Equipment LLC,FIRM
Malz Nominees Pty. Ltd.,FIRM
Surelock McGill Limited,FIRM
Entreprises Lokkit Inc.,FIRM
"Omni Valve Company, LLC",FIRM
SMS Sloemann Siegmag AG,FIRM
Innovation Medical GmbH,FIRM
"B & E Enterprises, Inc.",FIRM
"J A E Enterprises, Inc.",FIRM
"Rosetta Hardscapes, LLC",FIRM
"Deep Casing Tools, Ltd.",FIRM
"J.J. Lester & Co., Inc.",FIRM
"LOPAT Enterprises, Inc.",FIRM
"Impact Absorption, Inc.",FIRM
"R & D Separations, Inc.",FIRM
Polymerex Medical Corp.,FIRM
"Aisin Newhard Co., Ltd.",FIRM
"Colorobbia Espana, S.A.",FIRM
Canada Tech Corporation,FIRM
Surfbike Products Inc. ,FIRM
Permelec Electrode Ltd.,FIRM
Phuel Oil Tools Limited,FIRM
Data Fusion Corporation,FIRM
Rolls-Royce DSV Limited,FIRM
EMIF Technology Limited,FIRM
Golden Rod Welding Ltd.,FIRM
"ARCHERY INNOVATORS, LLC",FIRM
"Super Derivatives, Inc.",FIRM
L.B.T. Enterprises Ltd.,FIRM
"Aire Technologies, Inc.",FIRM
Lanxess Elastomers B.V.,FIRM
Sanitary Products Corp.,FIRM
Kokusai Elect. Co. Ltd.,FIRM
"Edible Technology, Inc.",FIRM
"Westblock Systems, Inc.",FIRM
"Tomei Diamond Co., Ltd.",FIRM
"Barnes Industries, Inc.",FIRM
Perpetual Packaging LLC,FIRM
ANVANCED-CONNECTEK INC.,FIRM
PEPperPRINTGmbH (DE/DE),FIRM
Hickey-Mitchell Company,FIRM
"Spring Lock Liners, LLC",FIRM
Martinstill Corporation,FIRM
Hemicycle Controls Inc.,FIRM
Hughes Display Products,FIRM
"Koviss Sports Co., Ltd.",FIRM
Rite Line Incorporation,FIRM
Valley Fabrication Inc.,FIRM
"Talex Optical Co., Ltd.",FIRM
Gimbie Enterprises Ltd.,FIRM
Federal Pioneer Limited,FIRM
"Great Bodies Ahead, Inc.",FIRM
Electrometer Corporation,FIRM
"iDonate Liquidation, LLC",FIRM
"FAIP North America, Inc.",FIRM
Fullcom Technology Corp.,FIRM
"TRI-EDGE INDUSTRIES, LLC",FIRM
A.CELLI NONWOVENS S.P.A.,FIRM
"Peloton Technology, Inc.",FIRM
"Schmitt Industries, Inc.",FIRM
Indian Head Incorporated,FIRM
"Vallery Industries, Inc.",FIRM
SH Welding & Repair Ltd.,FIRM
Migua Hammerschmidt GmbH,FIRM
Umicore Autocat USA Inc.,FIRM
"Suntec System Co., Ltd. ",FIRM
"Tricor Envirobonds, Ltd.",FIRM
"Accurate Machining, Inc.",FIRM
"MRV Communications, Inc.",FIRM
Golden Valley Foods Inc.,FIRM
Netzsch-Mohnopumpen-GmbH,FIRM
"J. V. Technologies, Inc.",FIRM
"Papillon Creations, Inc.",FIRM
Compagnie Plastic Onmium,FIRM
"StarsEnd Creations, Inc.",FIRM
"Kuroi Electric Co., Ltd.",FIRM
"Windsor Industries, Inc.",FIRM
Alcon (Puerto Rico) Inc.,FIRM
"Davstar Industries, Inc.",FIRM
Airbis Operations S.A.S.,FIRM
"YOKOTA TRADING CO., LTD.",FIRM
"Venus Laboratories, Inc.",FIRM
FOX BROADCASTING COMPANY,FIRM
"Scholin Industries, Inc.",FIRM
Magnetic Perpherals Inc.,FIRM
Dennison Systems Denmark,FIRM
Walnut Sand & Gravel Co.,FIRM
FSM Technologies Limited,FIRM
Szeszipari Kutatointezet,FIRM
VesselTek BioMedical LLC,FIRM
"Marketing Concepts, Inc.",FIRM
Jazz Hipster Corporation,FIRM
"Kenlin Enterprises, Inc.",FIRM
"Equistar Chemicals, E.P.",FIRM
"Transition Network, Inc.",FIRM
3M Bricolage Et Batiment,FIRM
Anastasis Biotec Limited,FIRM
"The Recovery Group, Inc.",FIRM
"Pro-Line/New Water, Inc.",FIRM
Lux Products Corporation,FIRM
"CHUNGDAHM Learning, Inc.",FIRM
"CMI Rubber Company, Inc.",FIRM
"Global Vision 2020, Inc.",FIRM
Speilo Manufacturing ULC,FIRM
Noell Crane Systems GmbH,FIRM
Metertek Technology Inc.,FIRM
Adrema Pitney Bowes GmbH,FIRM
"Pickering Controls, Inc.",FIRM
Mohammadreza Rohaninejad,FIRM
"Konami Gami Gaming, Inc.",FIRM
C.R.C. Packaging Limited,FIRM
"Jaquet Orthopedie, S. A.",FIRM
Oliver Machinery Company,FIRM
Societe les Piles Wonder,FIRM
"Loblolly Industries, LLC",FIRM
"Davidoff of Geneva, Inc.",FIRM
"Aegera Therpeutics, Inc.",FIRM
"Trigon Electronics, Inc.",FIRM
"Tandem Technologies, LLC",FIRM
"Eastwind Lapidary, Inc. ",FIRM
Axiom Innovation Limited,FIRM
"Cable Technica Co., Ltd.",FIRM
Michel's Industries Ltd.,FIRM
Virtual Geosatellite LLC,FIRM
"Graft Technologies, Inc.",FIRM
Agraferm Technologies AG,FIRM
Firma Hermann Ritzenhoff,FIRM
NEL Technologies Limited,FIRM
Applied Sweepers Limited,FIRM
Johannes Heidenhain GmbH,FIRM
Rollwash Italiana S.p.A.,FIRM
"Nova Horseshoe Co., Ltd.",FIRM
Curamix Electronics GmbH,FIRM
"Universe Yamaki Co., Ltd.",FIRM
Sauer-Danfoss-Daikin Ltd.,FIRM
ADVANCED ELECTRICAL TOOLS,FIRM
"XXSYS Technologies, Inc. ",FIRM
CAFFCO INTERNATIONAL LTD.,FIRM
Donnay International S.A.,FIRM
"Sunwell Biotech Co., Ltd.",FIRM
"Mid-States Plastics, Inc.",FIRM
"Wave Energy Systems, Inc.",FIRM
McMahan Laser Corporation,FIRM
"D & S Technologies, Inc. ",FIRM
"Blueberry Equipment, Inc.",FIRM
"Precision Stampings, Inc.",FIRM
Chi Ping Plastic Co. Ltd.,FIRM
"Big Switch Networks, Inc.",FIRM
Matthys Pretorius Strydom,FIRM
"Dukane Radiator Co., Inc.",FIRM
"The Platypus Foundry, LLC",FIRM
BEB Erdgas und Erdol GmbH,FIRM
S World Golf Systems Ltd.,FIRM
IMAC Business Corporation,FIRM
Ultra-Lite Paddle Company,FIRM
Powerbloc IBC Canada Inc.,FIRM
CENT & CENT GMBH & CO. KG,FIRM
"J & T Machinery Co., Ltd.",FIRM
Garnett Controls Limited ,FIRM
Titan Atlas Manufacturing,FIRM
"Zapatka Enterprises, Inc.",FIRM
Etablissements Rondolotti,FIRM
G.E.T. Australia Pty Ltd.,FIRM
Neuwaukum Industries Inc.,FIRM
"QAAM PHARMACEUTICALS, LLC",FIRM
"A. J. Harris & Sons, Inc.",FIRM
Different Dimensions Inc.,FIRM
Christcot Medical Company,FIRM
Westfield Industries Ltd.,FIRM
Walkover Sprayers Limited,FIRM
"Grey Island Systems, Inc.",FIRM
Accurate Products Company,FIRM
Hynix Seminconductor Inc.,FIRM
"Chang Yee Steel Co., Ltd.",FIRM
Gerbr. Otto GmbH & Co. KG,FIRM
Roma Medical Aids Limited,FIRM
Oxonica Materials Limited,FIRM
"EMK Testing Company, Inc.",FIRM
"Titan International, Inc.",FIRM
Sun Ace Kakoh (Pte.) Ltd.,FIRM
"FRONTLINE AEROSPACE, INC.",FIRM
Vonsimi Sales Corporation,FIRM
"HICO Technology Co., Ltd.",FIRM
Taylor Rental Corporation,FIRM
Voitelukeskus Tonitila Oy,FIRM
Bugatti Automobili S.p.A.,FIRM
"PATROCINIUM SYSTEMS, INC.",FIRM
"CHANGFENG GROUP CO., LTD.",FIRM
"Parker Laboratories, Inc.",FIRM
Gluth Systemtechnik GmbH ,FIRM
Contact Technologies Inc.,FIRM
Societe d'Etude du Radant,FIRM
"Shaan Xi Lifegen Co., Ltd.",FIRM
Advance International Inc.,FIRM
"New Century Products, Inc.",FIRM
Recovery Sales Corporation,FIRM
"Intelligent Ideation, Inc.",FIRM
"Senesco Technologies, Inc.",FIRM
Kadee Quality Products Co.,FIRM
American Labelmark Company,FIRM
"Nationwide Industries, hc.",FIRM
"Cumming Filtration IP, Inc",FIRM
"J. Powell Enterprises, LLC",FIRM
Eden Springs (Europe) S.A.,FIRM
Cellect Technologies Corp.,FIRM
Reliable Products Co. Inc.,FIRM
"DYNAGEN TECHNOLOGIES, INC.",FIRM
"Gem Positiong System, Inc.",FIRM
"Next Gen Illumination, Inc",FIRM
"Camovision of Georgia, LLC",FIRM
"MICRO UV TECHNOLOGIES, LLC",FIRM
"Laser Diode Products, Inc.",FIRM
Sundermann Water Power Ltd,FIRM
"Camas Lamas, S.A. de C.V. ",FIRM
Gram Precision Scales Inc.,FIRM
Les Technologies Babn Inc.,FIRM
"Colorado Great Grips, Inc.",FIRM
Techcom Import Export GmbH,FIRM
Power Controls Corporation,FIRM
Societe Anonyme Microturbo,FIRM
"Lubrication Research, Inc.",FIRM
"Advanced Health Media, LLC",FIRM
Prelude Pools Products C C,FIRM
North Coast Adhesives Inc.,FIRM
M/E Automotive Corporation,FIRM
Harper International Corp.,FIRM
Brushstrokes Fine Art Inc.,FIRM
TRUSTED RENEWABLES LIMITED,FIRM
Kautex Textron CVS Limited,FIRM
"Firesmart Technology, Inc.",FIRM
"Mahercor Laboratories, LLC",FIRM
"Solaris Technologies, Inc.",FIRM
"Ferran Electro-Craft, Inc.",FIRM
"Alesis Semiconductor, Inc.",FIRM
"American Innovations, LLC ",FIRM
Novauris Technologies Ltd.,FIRM
"Indian Wells Medical, Inc.",FIRM
"Epix Pharmaceuticals, Inc.",FIRM
"Clearwater Packaging, Inc.",FIRM
"Bitex Industrial Co., Ltd.",FIRM
Kuaefner Oilfield Products,FIRM
Harrison Technologies Inc.,FIRM
"Allpure Technologies, Inc.",FIRM
RED BOX RECORDERS LIMITED.,FIRM
Interior Brick Corporation,FIRM
"Matsukawa Kagaku Co., Ltd.",FIRM
"Nikken Chemicals Co., Ltd.",FIRM
"Voxtec International, Inc.",FIRM
"Astilleros Espanoles, S.A.",FIRM
ASTIC Signals Defenses LLC,FIRM
Socomec (Societe Anonyme) ,FIRM
"Myers Power Products, Inc.",FIRM
"Contico Internatioal, Inc.",FIRM
ECORECO GLOBAL CORPORATION,FIRM
Carson Alexion Corporation,FIRM
"Label Vision Systems, Inc.",FIRM
Mitsubishi Electrick Corp.,FIRM
Liebherr-Verzahnechnik GmbH,FIRM
"Electronic Innovators, Inc.",FIRM
"Life Support Projects, Inc.",FIRM
Dow Global Technologies LLC,FIRM
"Waterlomat, Societe Anonyme",FIRM
"Tridan Tool & Machine, Inc.",FIRM
"Snowmaker Productions, Inc.",FIRM
Thompson Marine Corporation,FIRM
G. M. Graham & Company Ltd.,FIRM
Qual Line Fence Corporation,FIRM
"Tactical Entertainment, LLC",FIRM
M-I Drilling Fluids Company,FIRM
V.I.V. International S.p.A.,FIRM
"Iarvell International, Ltd.",FIRM
"SPHEROS NORTH AMERICA, INC.",FIRM
"Lenox Machine Company, Inc.",FIRM
Dixon International Limited,FIRM
Veterinarian's Outlet Inc. ,FIRM
"FIDELIS CYBERSECURITY, INC.",FIRM
Intellipharmaceutical Corp.,FIRM
Translational Research Ltd.,FIRM
Centinental Automotive GmbH,FIRM
"Sixense Entertainment, Inc.",FIRM
"Plastic Specialties, L.L.C.",FIRM
California Aquariaum Supply,FIRM
"D.D. Williamson & Co., Inc.",FIRM
Muscle Dynamics Corporation,FIRM
Spicon Industries Pty. Ltd.,FIRM
Dow Global Technologies LLC,FIRM
MaxSea International S.A.S.,FIRM
"Genomac International, Ltd.",FIRM
Oerlikon-Burhle U.S.A. Inc.,FIRM
Cyrpess Semiconductor Corp.,FIRM
BERALE OF TELDAN GROUP LTD.,FIRM
Hone Poulenc Viscosuisse SA,FIRM
"Claiborne Electronics, Inc.",FIRM
"Assessment Technology, Inc.",FIRM
"Georgia Oil & Gas Co., Inc.",FIRM
PMAX TECHNOLOGY CORPORATION,FIRM
Calimmune Australia Pty Ltd,FIRM
"DINKLE ENTERPRISE CO., LTD.",FIRM
"Yih Cheng Factory Co., Ltd.",FIRM
"Composite Innovations, Inc.",FIRM
ORIENTUS INDUSTRY SDN. BHD.,FIRM
Opsona Therapeutics Limited,FIRM
"Arthur Matney Company, Inc.",FIRM
"Northern Therapeutics, Inc.",FIRM
JOACHIM UHING GMBH & CO. KG,FIRM
Pacific Advanced Technology,FIRM
Brass Wolf Enterprises Ltd.,FIRM
AB Karlshamns Plastindustri,FIRM
Venta Industrieanlagen GmbH,FIRM
"Triumph Aerostructures, LLC",FIRM
"Top Shelf Enterprises, Inc.",FIRM
Emhart Glass Machinery Inc.,FIRM
Marana Unique Products Inc.,FIRM
Ivax Pharmaceuticals S.R.O.,FIRM
"ScentLok Technologies, Inc.",FIRM
"Univation Technologies, LLD",FIRM
"GANIERE INNOVATIONS, L.L.C.",FIRM
Maschinenfabrik Scharf GmbH,FIRM
"Ex-Coll Home Fashions, Inc.",FIRM
"Admiral Watchband Co., Inc.",FIRM
"OPI Testing Equipment, Inc.",FIRM
Strong Electric Corporation,FIRM
Winner Aviation Corporation,FIRM
AMRITA THERAPEUTICS LIMITED,FIRM
Universal Cement Corporation,FIRM
"Daws Manufacturing Co., Inc.",FIRM
"Fullpower Technologies, Inc.",FIRM
Maruni Kasei Kabushikigaisha,FIRM
"Landis+Gyr Innovations, Inc.",FIRM
"Gene Therapy Sciences, Inc. ",FIRM
CUMBRE INTERNATIONAL LIMITED,FIRM
"Area Lighting Research, Inc.",FIRM
Techansonic Electronics Inc.,FIRM
Ryeh Ryh Enterprise Co. Ltd.,FIRM
Energetix Micropower Limited,FIRM
Lincoware International Inc.,FIRM
"HealthPoint Diagnostix, Inc.",FIRM
"Quick-Flight Stair Co., Inc.",FIRM
"ADO Max Technology Co., Ltd.",FIRM
NPC Industrias Quimicas Ltda,FIRM
Yoggie Security Systems Ltd.,FIRM
A/S Norsy Stalromobelfabrikk,FIRM
"Kitanihon Spinning Co., Ltd.",FIRM
"BLUE DIAMOND INDUSTRIES, LLC",FIRM
Ingenjorsfirman I. Haglof AB,FIRM
Cullmann Handelsgesellschaft,FIRM
"Chukyo Kasei Kogyo Co., Ltd.",FIRM
"Yorba Linda Enterprises, LLC",FIRM
"Miyano Machinery Japan, Inc.",FIRM
Richemont International S.A.,FIRM
"Koch Performance Roads, Inc.",FIRM
Walter Scheele GmbH & Co. KG,FIRM
"Presti Rubber Products, Inc.",FIRM
"Phantastic Innovations, Inc.",FIRM
"Biotronics Enterprises, Inc.",FIRM
Life Measurement Instruments,FIRM
Bernis Manufacturing Company,FIRM
Huebner Bros. of Canada Ltd.,FIRM
"Express Imaging Systems, LLC",FIRM
"TruTrak Flight Systems, Inc.",FIRM
Cementos Apasco S.A. de C.V.,FIRM
Gem-Micro Semiconductor Inc.,FIRM
"BRG Precision Products, Inc.",FIRM
"RAMAPO PHARMACEUTICALS, INC.",FIRM
Guardian Packing Corporation,FIRM
Golden River Traffic Limited,FIRM
Rimonyx Pharmaceuticals Ltd.,FIRM
"POWDER RIVER PRECISION, INC.",FIRM
"Philips Semiconductors, Inc.",FIRM
"True Health Diagnostics, LLC",FIRM
Foschungszentrum Julich GmbH,FIRM
"Fod Global Technologies, LLC",FIRM
Quick-Rotan Becker & Notz KG,FIRM
"Flow-Rite of Tennessee, Inc.",FIRM
Molecular Device Corporation,FIRM
Omnitec Products Corporation,FIRM
"Shatzu Health Products, Inc.",FIRM
"Chunghwa Picture Tubes, Ltd.",FIRM
"Solar Outdoor Lighting, Inc.",FIRM
FORD TECHNOLOGIES CORPORATION,FIRM
Kabushiki Kaisha Daiichikosho,FIRM
"Koito Manufacturing Co., Ltd.",FIRM
Shenzhen Codyson Electric Co.,FIRM
Pfleiderer Water Systems GmbH,FIRM
"Japan Fine Ceramics Co., LTD.",FIRM
ROY MORGAN RESEARCH PTY. LTD.,FIRM
Shyne Chi Enterprise Co. Ltd.,FIRM
"Hokuriku Golf Works Co., Ltd.",FIRM
Golden Gate Tele Systems Inc.,FIRM
Leitch Technology Corporation,FIRM
"CIC Components Ind. Co., Ltd.",FIRM
Riello Macchine Utensili Spa ,FIRM
Tirops Safety-Technology Inc.,FIRM
American Aerogel Corporaition,FIRM
Ebert Kettenspanntechnik GmbH,FIRM
"Welch Vacuum Technology, Inc.",FIRM
"Turn Key Dental Academy, Inc.",FIRM
"ARAID Gene Therapeutics, Inc.",FIRM
"Oshima Construction Co., Ltd.",FIRM
"Bulletproof Electronics, Inc.",FIRM
Naxsym Engine Technology Ltd.,FIRM
"Immunology Laboratories, Inc.",FIRM
"Private Label Autographs, LLC",FIRM
Caldervale Technology Limited,FIRM
"Chynoptics Technologies, Inc.",FIRM
Acceleration Enterprises Ltd.,FIRM
Aircraft Dynamics Corporation,FIRM
FG Innovation Company Limited,FIRM
"Oxerer Technologies Co., Ltd.",FIRM
"Koken Manufacturing Co., Inc.",FIRM
Concord Computing Corporation,FIRM
Hamberger Industriewerke GmbH,FIRM
"Cha Chou Enterprise Co., Ltd.",FIRM
Micromax International S.r.l.,FIRM
"La Colombe Torrefaction, Inc.",FIRM
"Liquid X Printed Metals, Inc.",FIRM
"AUCMOS Technologies USA, Inc.",FIRM
"A.M. Haire Truck Bodies, Inc.",FIRM
IDE TECHNOLOGIES S.A. DE C.V.,FIRM
Gooding International Limited,FIRM
"Favorite Check Printers, Inc.",FIRM
"AMANDA MACHINE TOOLS CO., LTD",FIRM
"Kinghood Technology Co., Ltd.",FIRM
Formosan Union Chemical Corp.,FIRM
"Positec Power Tools Co., Ltd.",FIRM
Versailles Home Fashions Inc.,FIRM
Signature Industries Limited ,FIRM
"KOLLTAN PHARMACEUTICALS, INC.",FIRM
Kent Subsidiary of Kidde Inc.,FIRM
Rosendahl Industrie-Handels AG,FIRM
Armacell JIOS Aerogels Limited,FIRM
"Yeh-Hsing Enterprise Co., Ltd.",FIRM
"Home Improvement Systems, Inc.",FIRM
Comalco (J. & S.) Pty. Limited,FIRM
"Greenwood Genetic Center, Inc.",FIRM
"Golden Hour Data Systems, Inc.",FIRM
Loranger Manufacturing Company,FIRM
Micro Chemical Systems Limited,FIRM
H. & P. Kaas System Teknik ApS,FIRM
"Atlantic Pharmaceuticals, Inc.",FIRM
"Graphic Techno Japan Co., Ltd.",FIRM
La Soudure Autogrene Francaise,FIRM
The Wapakoneta Machine Company,FIRM
Consolidated Medical Equipment,FIRM
"Engicom, naamloze vennootschap",FIRM
Entertainment Networks Limited,FIRM
"Westwind Pharmaceuticals, Inc.",FIRM
Mahaffey Fabric Structures LLC,FIRM
Toronto Electric Commissioners,FIRM
"TII Network Technologies, Inc.",FIRM
Toyota Jidosh Kabushiki Kaisha,FIRM
"Zeus Industrial Products, Inc.",FIRM
BME Messgeraete Entwicklung KG,FIRM
"Sony Computer Laboratory, Inc.",FIRM
"Fujian Aidi Electric Co., Ltd.",FIRM
Fluor Technologies Corporaticn,FIRM
"Fides Goldstock Breering, B.V.",FIRM
"Intersport Fashions West, Inc.",FIRM
United Mircroelectronics Corp.,FIRM
Vanguard Machinery Corporation,FIRM
"RICHVIEW ELECTRONICS CO., LTD.",FIRM
Gestion De Brevets Fraco Ltee ,FIRM
Economy Machine & Tool Company,FIRM
INTELLIGENT DISIGNS 2000 CORP.,FIRM
"Spirit Merchandise Group, Inc.",FIRM
"Hour Well Enterprise Co., Ltd.",FIRM
Duro Bag Manufacturing Company,FIRM
"Chemco Manufacturing Co., Inc.",FIRM
Optical Technology Corporation,FIRM
Central Impulsors S.A. de C.V.,FIRM
Electric City Printing Company,FIRM
American Research Corp. of Va.,FIRM
"Jones and Vining, Incorporated",FIRM
Container Research Corporation,FIRM
"En Novative Technologies, Inc.",FIRM
Warman Equipment International,FIRM
Intellectual Exchange PTY Ltd.,FIRM
"Globe Business Furniture, Inc.",FIRM
Debney-Spencer Industries Ltd.,FIRM
Max Streicher GmbH & Co. KG aA,FIRM
"Advanced Genetic Sciences, Inc.",FIRM
"Ludl Electronics Products, Ltd.",FIRM
Patterning Technologies Limited,FIRM
New Bedford Wire & Iron Company,FIRM
Scientific Research Instruments,FIRM
Horizon Pharma Rheumatology LLC,FIRM
Dynamic Aerospace Tools Company,FIRM
Almax Manufacturing Corporation,FIRM
Hartfield Titus & Donnelly LLC.,FIRM
"Merlin Solar Technologies, Inc.",FIRM
"Technographics Printworld, Inc.",FIRM
"Spalding Sports Worldwide, Inc.",FIRM
"Thermocompact, Societe Anonyme ",FIRM
"The Furukawn Electric Co., Ltd.",FIRM
"Kokos International Trach, Inc.",FIRM
TimeSpring Software Corporation,FIRM
"Metaldyne Chassis Products, LLC",FIRM
United Chemi-Con Manufacturing ,FIRM
Clicksoftware Technologies Ltd.,FIRM
SINGAPORE VOLITION PTE. LIMITED,FIRM
Kongsberg Techmatic UK Limited ,FIRM
"Specialty Coating Systems, Inc.",FIRM
THE HI-TECH ROBOTIC SYSTEMZ LTD,FIRM
Eberspacher catem GmbH & Co. KG,FIRM
Unity Semiconductor Corporation,FIRM
"Shoou Shyng Machinery Co., Ltd.",FIRM
"Pesa Micro Communications, Inc.",FIRM
Epicurean Cutting Surfaces Inc.,FIRM
"Hanlim Pharmaceutical Co., Ltd.",FIRM
Yashima Denken Kabushiki Kaisya,FIRM
Zecotek Display Systems Ltd Pte,FIRM
"Great Circle Technologies, Inc.",FIRM
Rust Global Enterprises Pty Ltd,FIRM
O-Two Medical Technologies Inc.,FIRM
Beacon Sweets & Chocolates Ltd.,FIRM
"Structural Health Systems, Inc.",FIRM
Hayakawa Rubber Company Limited,FIRM
"Superlite Builders Supply, Inc.",FIRM
Floral Ever Fresh Products Inc.,FIRM
"Kentek Informatio Systems, Inc.",FIRM
"Schwan's Technology Group, Inc.",FIRM
Baasel-Scheel Lasergraphics GmbH,FIRM
Wheel Ease Reference Corporation,FIRM
Knud Simonsen Industries Limited,FIRM
DBT Deutsche Bergau-Technik GmbH,FIRM
"Enterkin Manufacturing Co., Inc.",FIRM
Otsuka Electronics (U.S.A.) Inc.,FIRM
Intron Ingenieur-Unternehmung AG,FIRM
"Primex Process Specialists, Inc.",FIRM
Rotaflex (Great Britain) Limited,FIRM
